state,city,variable,year,value
AB,Calgary,Total Revenues,2016,3756067.0
AB,Calgary,Total Revenues,2017,3756067.0
AB,Calgary,Total Revenues,2018,3872574.0
AB,Calgary,Total Revenues,2019,4171634.0
AB,Calgary,Total Revenues,2020,4180830.0
AB,Calgary,Total Revenues,2021,4248825.0
AB,Calgary,Total Revenues,2022,4704706.0
AB,Calgary,Total Revenues,2023,4606195.0
AB,Calgary,Total Revenues,2024,4915027.0
AB,Calgary,Government transfers,2010,165689.0
AB,Calgary,Government transfers,2011,124930.0
AB,Calgary,Government transfers,2012,124091.0
AB,Calgary,Government transfers,2013,113368.0
AB,Calgary,Government transfers,2014,155091.0
AB,Calgary,Government transfers,2015,132243.0
AB,Calgary,Government transfers,2016,132817.0
AB,Calgary,Government transfers,2017,145168.0
AB,Calgary,Government transfers,2018,162123.0
AB,Calgary,Government transfers,2019,152337.0
AB,Calgary,Government transfers,2020,336250.0
AB,Calgary,Government transfers,2021,154780.0
AB,Calgary,Government transfers,2022,227830.0
AB,Calgary,Government transfers,2023,179306.0
AB,Calgary,Government transfers,2024,178613.0
AB,Calgary,Government transfers related to capital,2010,478483.0
AB,Calgary,Government transfers related to capital,2011,532865.0
AB,Calgary,Government transfers related to capital,2012,490743.0
AB,Calgary,Government transfers related to capital,2013,382978.0
AB,Calgary,Government transfers related to capital,2014,602220.0
AB,Calgary,Government transfers related to capital,2015,699704.0
AB,Calgary,Government transfers related to capital,2016,679736.0
AB,Calgary,Government transfers related to capital,2017,752525.0
AB,Calgary,Government transfers related to capital,2018,564652.0
AB,Calgary,Government transfers related to capital,2019,652016.0
AB,Calgary,Government transfers related to capital,2020,282756.0
AB,Calgary,Government transfers related to capital,2021,416393.0
AB,Calgary,Government transfers related to capital,2022,359643.0
AB,Calgary,Government transfers related to capital,2023,462316.0
AB,Calgary,Government transfers related to capital,2024,684848.0
AB,Calgary,Total Government Transfers,2010,644172.0
AB,Calgary,Total Government Transfers,2011,657795.0
AB,Calgary,Total Government Transfers,2012,614834.0
AB,Calgary,Total Government Transfers,2013,496346.0
AB,Calgary,Total Government Transfers,2014,757311.0
AB,Calgary,Total Government Transfers,2015,831947.0
AB,Calgary,Total Government Transfers,2016,812553.0
AB,Calgary,Total Government Transfers,2017,897693.0
AB,Calgary,Total Government Transfers,2018,726775.0
AB,Calgary,Total Government Transfers,2019,804353.0
AB,Calgary,Total Government Transfers,2020,619006.0
AB,Calgary,Total Government Transfers,2021,571173.0
AB,Calgary,Total Government Transfers,2022,587473.0
AB,Calgary,Total Government Transfers,2023,641622.0
AB,Calgary,Total Government Transfers,2024,863461.0
AB,Calgary,Interest Charges,2010,124038.0
AB,Calgary,Interest Charges,2011,133372.0
AB,Calgary,Interest Charges,2012,135729.0
AB,Calgary,Interest Charges,2013,138160.0
AB,Calgary,Interest Charges,2014,139511.0
AB,Calgary,Interest Charges,2015,131018.0
AB,Calgary,Interest Charges,2016,124083.0
AB,Calgary,Interest Charges,2017,115474.0
AB,Calgary,Interest Charges,2018,110998.0
AB,Calgary,Interest Charges,2019,109234.0
AB,Calgary,Interest Charges,2020,111376.0
AB,Calgary,Interest Charges,2021,100195.0
AB,Calgary,Interest Charges,2022,103575.0
AB,Calgary,Interest Charges,2023,116885.0
AB,Calgary,Interest Charges,2024,125854.0
AB,Calgary,Net Book TCA,2010,11133503.0
AB,Calgary,Net Book TCA,2011,12169759.0
AB,Calgary,Net Book TCA,2012,12967211.0
AB,Calgary,Net Book TCA,2013,13619521.0
AB,Calgary,Net Book TCA,2014,14284585.0
AB,Calgary,Net Book TCA,2015,14961869.0
AB,Calgary,Net Book TCA,2016,16003295.0
AB,Calgary,Net Book TCA,2017,16891106.0
AB,Calgary,Net Book TCA,2018,17698579.0
AB,Calgary,Net Book TCA,2019,18481951.0
AB,Calgary,Net Book TCA,2020,18834479.0
AB,Calgary,Net Book TCA,2021,19282626.0
AB,Calgary,Net Book TCA,2022,19745038.0
AB,Calgary,Net Book TCA,2023,20319980.0
AB,Calgary,Net Book TCA,2024,21483992.0
AB,Calgary,Total Cost of TCA,2010,14233886.0
AB,Calgary,Total Cost of TCA,2011,15477536.0
AB,Calgary,Total Cost of TCA,2012,17776249.0
AB,Calgary,Total Cost of TCA,2013,18582591.0
AB,Calgary,Total Cost of TCA,2014,20006440.0
AB,Calgary,Total Cost of TCA,2015,20828592.0
AB,Calgary,Total Cost of TCA,2016,22039417.0
AB,Calgary,Total Cost of TCA,2017,23528704.0
AB,Calgary,Total Cost of TCA,2018,24761219.0
AB,Calgary,Total Cost of TCA,2019,25944648.0
AB,Calgary,Total Cost of TCA,2020,28259053.0
AB,Calgary,Total Cost of TCA,2021,29159270.0
AB,Calgary,Total Cost of TCA,2022,30325623.0
AB,Calgary,Total Cost of TCA,2023,31525710.0
AB,Calgary,Total Cost of TCA,2024,33329942.0
AB,Calgary,Net Financial Position,2010,67664.0
AB,Calgary,Net Financial Position,2011,-177750.0
AB,Calgary,Net Financial Position,2012,140082.0
AB,Calgary,Net Financial Position,2013,572209.0
AB,Calgary,Net Financial Position,2014,712601.0
AB,Calgary,Net Financial Position,2015,1244298.0
AB,Calgary,Net Financial Position,2016,1371643.0
AB,Calgary,Net Financial Position,2017,1694038.0
AB,Calgary,Net Financial Position,2018,1918604.0
AB,Calgary,Net Financial Position,2019,2457110.0
AB,Calgary,Net Financial Position,2020,2790245.0
AB,Calgary,Net Financial Position,2021,3549862.0
AB,Calgary,Net Financial Position,2022,4282925.0
AB,Calgary,Net Financial Position,2023,4523301.0
AB,Calgary,Net Financial Position,2024,4897132.0
AB,Calgary,Financial Assets-to-Liabilities,2010,1.01437086
AB,Calgary,Financial Assets-to-Liabilities,2011,0.9645161561
AB,Calgary,Financial Assets-to-Liabilities,2012,1.026593948
AB,Calgary,Financial Assets-to-Liabilities,2013,1.096926585
AB,Calgary,Financial Assets-to-Liabilities,2014,1.12008873
AB,Calgary,Financial Assets-to-Liabilities,2015,1.214150955
AB,Calgary,Financial Assets-to-Liabilities,2016,1.231309322
AB,Calgary,Financial Assets-to-Liabilities,2017,1.315975112
AB,Calgary,Financial Assets-to-Liabilities,2018,1.357239494
AB,Calgary,Financial Assets-to-Liabilities,2019,1.479671675
AB,Calgary,Financial Assets-to-Liabilities,2020,1.513254602
AB,Calgary,Financial Assets-to-Liabilities,2021,1.604321835
AB,Calgary,Financial Assets-to-Liabilities,2022,1.699962395
AB,Calgary,Financial Assets-to-Liabilities,2023,1.741734507
AB,Calgary,Financial Assets-to-Liabilities,2024,1.731988516
AB,Calgary,Assets-to-Liabilities,2010,3.391783905
AB,Calgary,Assets-to-Liabilities,2011,3.406609118
AB,Calgary,Assets-to-Liabilities,2012,3.501784833
AB,Calgary,Assets-to-Liabilities,2013,3.416278735
AB,Calgary,Assets-to-Liabilities,2014,3.542139862
AB,Calgary,Assets-to-Liabilities,2015,3.804799275
AB,Calgary,Assets-to-Liabilities,2016,3.946007763
AB,Calgary,Assets-to-Liabilities,2017,4.483194567
AB,Calgary,Assets-to-Liabilities,2018,4.667177531
AB,Calgary,Assets-to-Liabilities,2019,5.104534071
AB,Calgary,Assets-to-Liabilities,2020,5.013249084
AB,Calgary,Assets-to-Liabilities,2021,4.903387824
AB,Calgary,Assets-to-Liabilities,2022,4.94535589
AB,Calgary,Assets-to-Liabilities,2023,5.093825057
AB,Calgary,Assets-to-Liabilities,2024,4.962966296
AB,Calgary,Net Debt-to-Total Revenues,2010,0.0
AB,Calgary,Net Debt-to-Total Revenues,2011,0.05991410794
AB,Calgary,Net Debt-to-Total Revenues,2012,0.0
AB,Calgary,Net Debt-to-Total Revenues,2013,0.0
AB,Calgary,Net Debt-to-Total Revenues,2014,0.0
AB,Calgary,Net Debt-to-Total Revenues,2015,0.0
AB,Calgary,Net Debt-to-Total Revenues,2016,0.0
AB,Calgary,Net Debt-to-Total Revenues,2017,0.0
AB,Calgary,Net Debt-to-Total Revenues,2018,0.0
AB,Calgary,Net Debt-to-Total Revenues,2019,0.0
AB,Calgary,Net Debt-to-Total Revenues,2020,0.0
AB,Calgary,Net Debt-to-Total Revenues,2021,0.0
AB,Calgary,Net Debt-to-Total Revenues,2022,0.0
AB,Calgary,Net Debt-to-Total Revenues,2023,0.0
AB,Calgary,Net Debt-to-Total Revenues,2024,0.0
AB,Calgary,Interest-to-Total Revenues,2010,0.04415904919
AB,Calgary,Interest-to-Total Revenues,2011,0.04495563659
AB,Calgary,Interest-to-Total Revenues,2012,0.04210450233
AB,Calgary,Interest-to-Total Revenues,2013,0.03730412365
AB,Calgary,Interest-to-Total Revenues,2014,0.0382101739
AB,Calgary,Interest-to-Total Revenues,2015,0.0353499556
AB,Calgary,Interest-to-Total Revenues,2016,0.0330353532
AB,Calgary,Interest-to-Total Revenues,2017,0.03074332806
AB,Calgary,Interest-to-Total Revenues,2018,0.02866258979
AB,Calgary,Interest-to-Total Revenues,2019,0.02618494336
AB,Calgary,Interest-to-Total Revenues,2020,0.02663968638
AB,Calgary,Interest-to-Total Revenues,2021,0.0235818138
AB,Calgary,Interest-to-Total Revenues,2022,0.02201519075
AB,Calgary,Interest-to-Total Revenues,2023,0.02537560828
AB,Calgary,Interest-to-Total Revenues,2024,0.0256059631
AB,Calgary,Net Book-to-Cost of TCA,2010,0.7821829541
AB,Calgary,Net Book-to-Cost of TCA,2011,0.7862852976
AB,Calgary,Net Book-to-Cost of TCA,2012,0.7294683485
AB,Calgary,Net Book-to-Cost of TCA,2013,0.7329182997
AB,Calgary,Net Book-to-Cost of TCA,2014,0.7139993422
AB,Calgary,Net Book-to-Cost of TCA,2015,0.7183331931
AB,Calgary,Net Book-to-Cost of TCA,2016,0.7261215213
AB,Calgary,Net Book-to-Cost of TCA,2017,0.7178935992
AB,Calgary,Net Book-to-Cost of TCA,2018,0.7147701008
AB,Calgary,Net Book-to-Cost of TCA,2019,0.7123608306
AB,Calgary,Net Book-to-Cost of TCA,2020,0.6664936366
AB,Calgary,Net Book-to-Cost of TCA,2021,0.6612863079
AB,Calgary,Net Book-to-Cost of TCA,2022,0.6511008199
AB,Calgary,Net Book-to-Cost of TCA,2023,0.6445526524
AB,Calgary,Net Book-to-Cost of TCA,2024,0.6445853401
AB,Calgary,Govt Transfers-to-Total Revenues,2010,0.2293331321
AB,Calgary,Govt Transfers-to-Total Revenues,2011,0.2217226477
AB,Calgary,Govt Transfers-to-Total Revenues,2012,0.190727697
AB,Calgary,Govt Transfers-to-Total Revenues,2013,0.1340167383
AB,Calgary,Govt Transfers-to-Total Revenues,2014,0.2074172288
AB,Calgary,Govt Transfers-to-Total Revenues,2015,0.2244675504
AB,Calgary,Govt Transfers-to-Total Revenues,2016,0.2163308056
AB,Calgary,Govt Transfers-to-Total Revenues,2017,0.2389981329
AB,Calgary,Govt Transfers-to-Total Revenues,2018,0.1876723337
AB,Calgary,Govt Transfers-to-Total Revenues,2019,0.1928148538
AB,Calgary,Govt Transfers-to-Total Revenues,2020,0.1480581607
AB,Calgary,Govt Transfers-to-Total Revenues,2021,0.1344308132
AB,Calgary,Govt Transfers-to-Total Revenues,2022,0.1248692267
AB,Calgary,Govt Transfers-to-Total Revenues,2023,0.1392954488
AB,Calgary,Govt Transfers-to-Total Revenues,2024,0.1756777735
AZ,Bullhead_City,Current Assets,2015,46765717.0
AZ,Bullhead_City,Current Assets,2016,39873185.0
AZ,Bullhead_City,Current Assets,2017,38555034.0
AZ,Bullhead_City,Current Assets,2018,38012926.0
AZ,Bullhead_City,Current Assets,2019,41479432.0
AZ,Bullhead_City,Current Assets,2020,47233765.0
AZ,Bullhead_City,Current Assets,2021,51684189.0
AZ,Bullhead_City,Current Assets,2022,69111292.0
AZ,Bullhead_City,Current Assets,2023,64307750.0
AZ,Bullhead_City,Current Assets,2024,84788786.0
AZ,Bullhead_City,Capital Assets,2015,170774909.0
AZ,Bullhead_City,Capital Assets,2016,165836877.0
AZ,Bullhead_City,Capital Assets,2017,159548075.0
AZ,Bullhead_City,Capital Assets,2018,160156646.0
AZ,Bullhead_City,Capital Assets,2019,155901532.0
AZ,Bullhead_City,Capital Assets,2020,156321143.0
AZ,Bullhead_City,Capital Assets,2021,153965318.0
AZ,Bullhead_City,Capital Assets,2022,253740644.0
AZ,Bullhead_City,Capital Assets,2023,260518988.0
AZ,Bullhead_City,Capital Assets,2024,262718970.0
AZ,Bullhead_City,Total Assets,2015,217540626.0
AZ,Bullhead_City,Total Assets,2016,205710062.0
AZ,Bullhead_City,Total Assets,2017,198103109.0
AZ,Bullhead_City,Total Assets,2018,198169572.0
AZ,Bullhead_City,Total Assets,2019,197380964.0
AZ,Bullhead_City,Total Assets,2020,203554908.0
AZ,Bullhead_City,Total Assets,2021,205649507.0
AZ,Bullhead_City,Total Assets,2022,322851936.0
AZ,Bullhead_City,Total Assets,2023,324826738.0
AZ,Bullhead_City,Total Assets,2024,347507756.0
AZ,Bullhead_City,Deferred outflows,2015,4858070.0
AZ,Bullhead_City,Deferred outflows,2016,4931451.0
AZ,Bullhead_City,Deferred outflows,2017,6674744.0
AZ,Bullhead_City,Deferred outflows,2018,7186765.0
AZ,Bullhead_City,Deferred outflows,2019,5447023.0
AZ,Bullhead_City,Deferred outflows,2020,6029456.0
AZ,Bullhead_City,Deferred outflows,2021,7322353.0
AZ,Bullhead_City,Deferred outflows,2022,4587551.0
AZ,Bullhead_City,Deferred outflows,2023,6365429.0
AZ,Bullhead_City,Deferred outflows,2024,6996086.0
AZ,Bullhead_City,Liabilities,2015,84312673.0
AZ,Bullhead_City,Liabilities,2016,77486516.0
AZ,Bullhead_City,Liabilities,2017,76852377.0
AZ,Bullhead_City,Liabilities,2018,76238633.0
AZ,Bullhead_City,Liabilities,2019,74724704.0
AZ,Bullhead_City,Liabilities,2020,76661500.0
AZ,Bullhead_City,Liabilities,2021,77202529.0
AZ,Bullhead_City,Liabilities,2022,184570178.0
AZ,Bullhead_City,Liabilities,2023,184098244.0
AZ,Bullhead_City,Liabilities,2024,189946493.0
AZ,Bullhead_City,Deferred inflows,2015,1265180.0
AZ,Bullhead_City,Deferred inflows,2016,1632548.0
AZ,Bullhead_City,Deferred inflows,2017,1317172.0
AZ,Bullhead_City,Deferred inflows,2018,1620175.0
AZ,Bullhead_City,Deferred inflows,2019,444339.0
AZ,Bullhead_City,Deferred inflows,2020,372588.0
AZ,Bullhead_City,Deferred inflows,2021,199392.0
AZ,Bullhead_City,Deferred inflows,2022,3596080.0
AZ,Bullhead_City,Deferred inflows,2023,255811.0
AZ,Bullhead_City,Deferred inflows,2024,132589.0
AZ,Bullhead_City,Total liabilities,2015,85577853.0
AZ,Bullhead_City,Total liabilities,2016,79119064.0
AZ,Bullhead_City,Total liabilities,2017,78169549.0
AZ,Bullhead_City,Total liabilities,2018,77858808.0
AZ,Bullhead_City,Total liabilities,2019,75169043.0
AZ,Bullhead_City,Total liabilities,2020,77034088.0
AZ,Bullhead_City,Total liabilities,2021,77401921.0
AZ,Bullhead_City,Total liabilities,2022,188166258.0
AZ,Bullhead_City,Total liabilities,2023,184354055.0
AZ,Bullhead_City,Total liabilities,2024,190079082.0
AZ,Bullhead_City,Net position,2015,136820843.0
AZ,Bullhead_City,Net position,2016,131522449.0
AZ,Bullhead_City,Net position,2017,126608304.0
AZ,Bullhead_City,Net position,2018,127497529.0
AZ,Bullhead_City,Net position,2019,127658944.0
AZ,Bullhead_City,Net position,2020,132550276.0
AZ,Bullhead_City,Net position,2021,135569939.0
AZ,Bullhead_City,Net position,2022,139273229.0
AZ,Bullhead_City,Net position,2023,146838112.0
AZ,Bullhead_City,Net position,2024,164424760.0
AZ,Bullhead_City,Total Revenues,2015,43153494.0
AZ,Bullhead_City,Total Revenues,2016,43153494.0
AZ,Bullhead_City,Total Revenues,2017,48090998.0
AZ,Bullhead_City,Total Revenues,2018,49167159.0
AZ,Bullhead_City,Total Revenues,2019,49232517.0
AZ,Bullhead_City,Total Revenues,2020,54293217.0
AZ,Bullhead_City,Total Revenues,2021,59567994.0
AZ,Bullhead_City,Total Revenues,2022,73940445.0
AZ,Bullhead_City,Total Revenues,2023,82892846.0
AZ,Bullhead_City,Total Revenues,2024,96965217.0
AZ,Bullhead_City,Operating Grants & Conributions,2015,5790928.0
AZ,Bullhead_City,Operating Grants & Conributions,2016,5930316.0
AZ,Bullhead_City,Operating Grants & Conributions,2017,7319742.0
AZ,Bullhead_City,Operating Grants & Conributions,2018,5933804.0
AZ,Bullhead_City,Operating Grants & Conributions,2019,6639115.0
AZ,Bullhead_City,Operating Grants & Conributions,2020,9391422.0
AZ,Bullhead_City,Operating Grants & Conributions,2021,9413545.0
AZ,Bullhead_City,Operating Grants & Conributions,2022,10229059.0
AZ,Bullhead_City,Operating Grants & Conributions,2023,13107661.0
AZ,Bullhead_City,Operating Grants & Conributions,2024,12547999.0
AZ,Bullhead_City,Capital Grants & Contributions,2015,1258468.0
AZ,Bullhead_City,Capital Grants & Contributions,2016,523926.0
AZ,Bullhead_City,Capital Grants & Contributions,2017,1078858.0
AZ,Bullhead_City,Capital Grants & Contributions,2018,3681876.0
AZ,Bullhead_City,Capital Grants & Contributions,2019,190128.0
AZ,Bullhead_City,Capital Grants & Contributions,2020,348406.0
AZ,Bullhead_City,Capital Grants & Contributions,2021,382494.0
AZ,Bullhead_City,Capital Grants & Contributions,2022,1533750.0
AZ,Bullhead_City,Capital Grants & Contributions,2023,2400626.0
AZ,Bullhead_City,Capital Grants & Contributions,2024,11254533.0
AZ,Bullhead_City,Total Government Transfers,2015,7049396.0
AZ,Bullhead_City,Total Government Transfers,2016,6454242.0
AZ,Bullhead_City,Total Government Transfers,2017,8398600.0
AZ,Bullhead_City,Total Government Transfers,2018,9615680.0
AZ,Bullhead_City,Total Government Transfers,2019,6829243.0
AZ,Bullhead_City,Total Government Transfers,2020,9739828.0
AZ,Bullhead_City,Total Government Transfers,2021,9796039.0
AZ,Bullhead_City,Total Government Transfers,2022,11762809.0
AZ,Bullhead_City,Total Government Transfers,2023,15508287.0
AZ,Bullhead_City,Total Government Transfers,2024,23802532.0
AZ,Bullhead_City,Interest Charges,2015,946293.0
AZ,Bullhead_City,Interest Charges,2016,782092.0
AZ,Bullhead_City,Interest Charges,2017,734998.0
AZ,Bullhead_City,Interest Charges,2018,741581.0
AZ,Bullhead_City,Interest Charges,2019,738957.0
AZ,Bullhead_City,Interest Charges,2020,529581.0
AZ,Bullhead_City,Interest Charges,2021,530291.0
AZ,Bullhead_City,Interest Charges,2022,411526.0
AZ,Bullhead_City,Interest Charges,2023,376928.0
AZ,Bullhead_City,Interest Charges,2024,747805.0
AZ,Bullhead_City,Net Book TCA,2015,170774909.0
AZ,Bullhead_City,Net Book TCA,2016,165836877.0
AZ,Bullhead_City,Net Book TCA,2017,159548075.0
AZ,Bullhead_City,Net Book TCA,2018,160156646.0
AZ,Bullhead_City,Net Book TCA,2019,155901532.0
AZ,Bullhead_City,Net Book TCA,2020,156321143.0
AZ,Bullhead_City,Net Book TCA,2021,153965318.0
AZ,Bullhead_City,Net Book TCA,2022,253740644.0
AZ,Bullhead_City,Net Book TCA,2023,263245557.0
AZ,Bullhead_City,Net Book TCA,2024,262718970.0
AZ,Bullhead_City,Govt assets not depreciated,2015,3707665.0
AZ,Bullhead_City,Govt assets not depreciated,2016,5387368.0
AZ,Bullhead_City,Govt assets not depreciated,2017,4025596.0
AZ,Bullhead_City,Govt assets not depreciated,2018,6867612.0
AZ,Bullhead_City,Govt assets not depreciated,2019,4385367.0
AZ,Bullhead_City,Govt assets not depreciated,2020,6845097.0
AZ,Bullhead_City,Govt assets not depreciated,2021,4212536.0
AZ,Bullhead_City,Govt assets not depreciated,2022,7282797.0
AZ,Bullhead_City,Govt assets not depreciated,2023,11809928.0
AZ,Bullhead_City,Govt assets not depreciated,2024,17217379.0
AZ,Bullhead_City,Govt assets being depreciated,2015,52112861.0
AZ,Bullhead_City,Govt assets being depreciated,2016,45297311.0
AZ,Bullhead_City,Govt assets being depreciated,2017,42062978.0
AZ,Bullhead_City,Govt assets being depreciated,2018,42867773.0
AZ,Bullhead_City,Govt assets being depreciated,2019,44840556.0
AZ,Bullhead_City,Govt assets being depreciated,2020,42818799.0
AZ,Bullhead_City,Govt assets being depreciated,2021,46207317.0
AZ,Bullhead_City,Govt assets being depreciated,2022,45545069.0
AZ,Bullhead_City,Govt assets being depreciated,2023,50302520.0
AZ,Bullhead_City,Govt assets being depreciated,2024,50867941.0
AZ,Bullhead_City,Bus assets not depreciated,2015,9270940.0
AZ,Bullhead_City,Bus assets not depreciated,2016,13133985.0
AZ,Bullhead_City,Bus assets not depreciated,2017,12046036.0
AZ,Bullhead_City,Bus assets not depreciated,2018,5121887.0
AZ,Bullhead_City,Bus assets not depreciated,2019,4572662.0
AZ,Bullhead_City,Bus assets not depreciated,2020,8094008.0
AZ,Bullhead_City,Bus assets not depreciated,2021,8876112.0
AZ,Bullhead_City,Bus assets not depreciated,2022,12654523.0
AZ,Bullhead_City,Bus assets not depreciated,2023,15884254.0
AZ,Bullhead_City,Bus assets not depreciated,2024,17466037.0
AZ,Bullhead_City,Bus assets being depreciated,2015,105683443.0
AZ,Bullhead_City,Bus assets being depreciated,2016,102018213.0
AZ,Bullhead_City,Bus assets being depreciated,2017,101413465.0
AZ,Bullhead_City,Bus assets being depreciated,2018,105299374.0
AZ,Bullhead_City,Bus assets being depreciated,2019,102102947.0
AZ,Bullhead_City,Bus assets being depreciated,2020,98563239.0
AZ,Bullhead_City,Bus assets being depreciated,2021,94669353.0
AZ,Bullhead_City,Bus assets being depreciated,2022,188258255.0
AZ,Bullhead_City,Bus assets being depreciated,2023,185248855.0
AZ,Bullhead_City,Bus assets being depreciated,2024,177167613.0
AZ,Bullhead_City,Total Cost of TCA,2015,170774909.0
AZ,Bullhead_City,Total Cost of TCA,2016,165836877.0
AZ,Bullhead_City,Total Cost of TCA,2017,159548075.0
AZ,Bullhead_City,Total Cost of TCA,2018,160156646.0
AZ,Bullhead_City,Total Cost of TCA,2019,155901532.0
AZ,Bullhead_City,Total Cost of TCA,2020,156321143.0
AZ,Bullhead_City,Total Cost of TCA,2021,153965318.0
AZ,Bullhead_City,Total Cost of TCA,2022,253740644.0
AZ,Bullhead_City,Total Cost of TCA,2023,263245557.0
AZ,Bullhead_City,Total Cost of TCA,2024,262718970.0
AZ,Bullhead_City,Net Financial Position,2015,-38812136.0
AZ,Bullhead_City,Net Financial Position,2016,-39245879.0
AZ,Bullhead_City,Net Financial Position,2017,-39614515.0
AZ,Bullhead_City,Net Financial Position,2018,-39845882.0
AZ,Bullhead_City,Net Financial Position,2019,-33689611.0
